SeniorCitizen,tenure,MonthlyCharges,TotalCharges,gender_Male,Partner_Yes,Dependents_Yes,PhoneService_Yes,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaperlessBilling_Yes,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
0,0.29166666666666663,0.46437468858993514,0.1539240972733972,False,False,True,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,True
0,0.75,0.7867463876432487,0.5906238485630066,False,False,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,True,True,False,False,False
0,0.013888888888888888,0.05181863477827603,0.0027001197494473106,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
0,0.05555555555555555,0.5176880916791231,0.02739844325718497,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
0,0.0,0.43497757847533636,0.0,True,False,True,True,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,True,False,False,False
0,0.09722222222222221,0.5112107623318386,0.060030167649226245,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
0,0.4444444444444444,0.006975585450921751,0.07069247420781137,True,True,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,True
0,1.0,0.01544593921275536,0.16288803426676496,True,True,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,True,False,False
0,0.2638888888888889,0.21325361235675136,0.08444063190862197,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False
0,0.1388888888888889,0.016940707523667137,0.025274042004421522,True,False,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False
1,0.29166666666666663,0.5067264573991032,0.16980817059690495,True,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
1,0.625,0.5161933233682112,0.35262182203389836,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False
1,0.4444444444444444,0.01544593921275536,0.06766995210022109,True,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False
0,0.5555555555555556,0.8719481813652217,0.48689088983050854,False,True,False,True,False,True,True,False,False,True,False,False,False,True,False,False,False,True,False,True,True,False,False,False,False,False
0,0.6527777777777778,0.2356751370204285,0.21592322218128226,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True
0,0.5,0.34728450423517687,0.21891695836403835,False,False,False,False,True,False,False,False,False,True,False,True,False,True,False,True,False,False,False,True,False,True,True,False,False,True
0,0.9583333333333333,0.8654708520179373,0.8330416359616803,False,True,True,True,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,False,True,False,True,True,False,False
0,0.986111111111111,0.6223218734429498,0.6569005619012529,False,True,False,True,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,True,True,False,False
0,0.986111111111111,0.06377678126557049,0.19691299742078117,False,True,False,True,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,False
0,0.4861111111111111,0.34778276033881417,0.22233096904937366,True,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,True,True,False,False,True,False,False
0,0.041666666666666664,0.36273044344793226,0.021773673544583642,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
1,1.0,0.911310413552566,0.9094567520265292,True,True,False,True,False,True,True,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False
0,1.0,0.720976581963129,0.7417384395725868,True,True,True,True,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,True,False,False
0,0.9444444444444444,0.5455904334828102,0.5944869196757554,False,True,True,True,False,True,False,False,False,True,False,True,False,True,False,False,False,True,False,False,True,False,True,True,False,False
0,0.5833333333333333,0.36372695565520685,0.2704092207074429,False,False,False,False,True,False,False,False,False,True,False,True,False,True,False,True,False,False,False,True,True,False,True,False,True,False
1,0.29166666666666663,0.02242152466367711,0.04945997605011054,True,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False
1,0.1111111111111111,0.7359242650722471,0.08404914333087696,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,True,False
1,0.1388888888888889,0.5685102142501246,0.08295527818717761,True,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0,0.986111111111111,0.8819133034379671,0.8386203481945469,False,False,False,True,False,True,True,False,False,True,False,True,False,True,False,False,False,True,False,True,False,True,True,True,False,False
1,0.6388888888888888,0.7279521674140508,0.4751232037582905,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,True,False,False,False
0,0.041666666666666664,0.615346287992028,0.027784174649963158,False,True,True,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False
1,0.16666666666666666,0.7279521674140508,0.1260247789240973,False,False,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False
0,0.3611111111111111,0.2949676133532636,0.13707857406042742,False,True,False,False,True,False,False,False,False,True,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False
0,0.041666666666666664,0.317887394120578,0.018520864038319824,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
0,0.6805555555555555,0.560039860488291,0.4285533345615329,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,True,True,False,False,False
0,0.4583333333333333,0.621325361235675,0.30525746131171705,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False
0,0.5833333333333333,0.7588440458395617,0.4622558953574061,True,True,False,True,False,True,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False
0,0.4305555555555555,0.5680119581464873,0.2699544030950627,True,True,True,True,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,True,True,False,True,False,False,False
1,0.9444444444444444,0.8858993522670653,0.8497374723655123,True,True,True,True,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,True,True,False,True,True,False,False
1,0.9166666666666666,0.9765819631290484,0.9052885501105381,True,True,True,True,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,True,True,False,True,False,True,False
0,0.8055555555555555,0.012954658694568993,0.12767133382461313,True,True,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False
0,0.4861111111111111,0.018435475834578968,0.07545366617538689,True,True,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,True
0,0.013888888888888888,0.019431988041853504,0.0023259027266028004,True,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,False
0,0.5555555555555556,0.5635276532137519,0.34217253131908626,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
0,0.18055555555555555,0.5774788241155955,0.11300778371407519,False,True,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,True,False,True,False
